essay_id,tid,grade,type,instructions,essay,excerpt,startidx,endidx,comment,comment_id,sentences
ms1narrativeHannah Ayers,Hannah Ayers,ms,Narrative,"Click the play button to listen to the audio. As you listen, read the journal entry below about people exploring an island far away. Then do the task. Students listen to a short audio clip of waves crashing on the shore and birds singing.   When we first arrived on the island, we saw mountains and fields with lots of colorful flowers and large, strange-looking trees. There were no people. No humans had ever been here before. The first animal we saw was so tall that it had to bend down to eat the leaves off the treetops . . . . Imagine that you are one of the people exploring this remote island. Write a story that begins where the journal entry ends.","The reason we are on this island is because our plane crashed offshore about one hundred feet. Then we drifted here. The plane has three days worth of food and 2 days worth of water. We could probably use some of the things on the plane to build shelter and a fire. There was a total of 10 people on the plane, nobody died when it crashed thinks to the pilot. We are college students on a vacation to Hawaii, but we hit a bad storm and drifted way off course. The pilot saw the island and crash landed near it. There is five guys and five girls, the, girls will get to sleep inside the plane so they don't get to cold or scared. The guys will sleep outside near the plane next to the fire because the plane is now not big enough to hold 10 people. The next day, the guys ventured further inland for some fruit to eat for breakfast. All of the sudden they were attacked by monkeys, so they ran back and squeezed in the plane until the ferocious monkeys left. They ate what fruit they were able to grab and then went to the ocean to catch some fish. While the guys were outside fishing, the girls built a sign out of logs that said ""HELP"". If they saw a boat or airplane, they would light it on fire so that they could be rescued. Two days past, then suddenly a loud buzzing noise ‘came from overhead, it was an airplane. They were saved! The plane had saw the smoke from their fire, It landed safely near the shore and picked them up.","We are college students on a vacation to Hawaii,",360,408,Ok explain how the college students decided to go to Hawaii ,D2doQjfFoxA8Qj9kKc7V,"[""Ok explain how the college students decided to go to Hawaii""]"
ms1narrativeHannah Ayers,Hannah Ayers,ms,Narrative,"Click the play button to listen to the audio. As you listen, read the journal entry below about people exploring an island far away. Then do the task. Students listen to a short audio clip of waves crashing on the shore and birds singing.   When we first arrived on the island, we saw mountains and fields with lots of colorful flowers and large, strange-looking trees. There were no people. No humans had ever been here before. The first animal we saw was so tall that it had to bend down to eat the leaves off the treetops . . . . Imagine that you are one of the people exploring this remote island. Write a story that begins where the journal entry ends.","The reason we are on this island is because our plane crashed offshore about one hundred feet. Then we drifted here. The plane has three days worth of food and 2 days worth of water. We could probably use some of the things on the plane to build shelter and a fire. There was a total of 10 people on the plane, nobody died when it crashed thinks to the pilot. We are college students on a vacation to Hawaii, but we hit a bad storm and drifted way off course. The pilot saw the island and crash landed near it. There is five guys and five girls, the, girls will get to sleep inside the plane so they don't get to cold or scared. The guys will sleep outside near the plane next to the fire because the plane is now not big enough to hold 10 people. The next day, the guys ventured further inland for some fruit to eat for breakfast. All of the sudden they were attacked by monkeys, so they ran back and squeezed in the plane until the ferocious monkeys left. They ate what fruit they were able to grab and then went to the ocean to catch some fish. While the guys were outside fishing, the girls built a sign out of logs that said ""HELP"". If they saw a boat or airplane, they would light it on fire so that they could be rescued. Two days past, then suddenly a loud buzzing noise ‘came from overhead, it was an airplane. They were saved! The plane had saw the smoke from their fire, It landed safely near the shore and picked them up.","The next day, the guys ventured further inland for some fruit to eat for breakfast. All of the sudden they were attacked by monkeys, so they ran back and squeezed in the plane until the ferocious monkeys left.",748,957,"Remember imagery (what can you taste, smell, hear, touch, see) - that's what makes it a narrative",JE1XZYLK3IUSKDy4Eh0z,"[""Remember imagery (what can you taste, smell, hear, touch, see) - that's what makes it a narrative""]"
ms1narrativeHannah Ayers,Hannah Ayers,ms,Narrative,"Click the play button to listen to the audio. As you listen, read the journal entry below about people exploring an island far away. Then do the task. Students listen to a short audio clip of waves crashing on the shore and birds singing.   When we first arrived on the island, we saw mountains and fields with lots of colorful flowers and large, strange-looking trees. There were no people. No humans had ever been here before. The first animal we saw was so tall that it had to bend down to eat the leaves off the treetops . . . . Imagine that you are one of the people exploring this remote island. Write a story that begins where the journal entry ends.","The reason we are on this island is because our plane crashed offshore about one hundred feet. Then we drifted here. The plane has three days worth of food and 2 days worth of water. We could probably use some of the things on the plane to build shelter and a fire. There was a total of 10 people on the plane, nobody died when it crashed thinks to the pilot. We are college students on a vacation to Hawaii, but we hit a bad storm and drifted way off course. The pilot saw the island and crash landed near it. There is five guys and five girls, the, girls will get to sleep inside the plane so they don't get to cold or scared. The guys will sleep outside near the plane next to the fire because the plane is now not big enough to hold 10 people. The next day, the guys ventured further inland for some fruit to eat for breakfast. All of the sudden they were attacked by monkeys, so they ran back and squeezed in the plane until the ferocious monkeys left. They ate what fruit they were able to grab and then went to the ocean to catch some fish. While the guys were outside fishing, the girls built a sign out of logs that said ""HELP"". If they saw a boat or airplane, they would light it on fire so that they could be rescued. Two days past, then suddenly a loud buzzing noise ‘came from overhead, it was an airplane. They were saved! The plane had saw the smoke from their fire, It landed safely near the shore and picked them up.","Two days past,",1229,1243,"Think about pacing - how long is this whole story? Where should you slow down? Right now, the story is rushed. So much ""happens"" but we don't get to experience the story. Slow down and find spots where you can talk about what it's like to BE there. Look at the prompt for an example of what imagery can be and remember what you heard when you listened to the audio. ",bVxuqxk9Pwnl2VX4TFOb,"[""Think about pacing - how long is this whole story?"", ""Where should you slow down?"", ""Right now, the story is rushed."", ""So much \""happens\"" but we don't get to experience the story."", ""Slow down and find spots where you can talk about what it's like to BE there."", ""Look at the prompt for an example of what imagery can be and remember what you heard when you listened to the audio.""]"
ms1narrativeHannah Ayers,Hannah Ayers,ms,Narrative,"Click the play button to listen to the audio. As you listen, read the journal entry below about people exploring an island far away. Then do the task. Students listen to a short audio clip of waves crashing on the shore and birds singing.   When we first arrived on the island, we saw mountains and fields with lots of colorful flowers and large, strange-looking trees. There were no people. No humans had ever been here before. The first animal we saw was so tall that it had to bend down to eat the leaves off the treetops . . . . Imagine that you are one of the people exploring this remote island. Write a story that begins where the journal entry ends.","The reason we are on this island is because our plane crashed offshore about one hundred feet. Then we drifted here. The plane has three days worth of food and 2 days worth of water. We could probably use some of the things on the plane to build shelter and a fire. There was a total of 10 people on the plane, nobody died when it crashed thinks to the pilot. We are college students on a vacation to Hawaii, but we hit a bad storm and drifted way off course. The pilot saw the island and crash landed near it. There is five guys and five girls, the, girls will get to sleep inside the plane so they don't get to cold or scared. The guys will sleep outside near the plane next to the fire because the plane is now not big enough to hold 10 people. The next day, the guys ventured further inland for some fruit to eat for breakfast. All of the sudden they were attacked by monkeys, so they ran back and squeezed in the plane until the ferocious monkeys left. They ate what fruit they were able to grab and then went to the ocean to catch some fish. While the guys were outside fishing, the girls built a sign out of logs that said ""HELP"". If they saw a boat or airplane, they would light it on fire so that they could be rescued. Two days past, then suddenly a loud buzzing noise ‘came from overhead, it was an airplane. They were saved! The plane had saw the smoke from their fire, It landed safely near the shore and picked them up.",The reason we are on this island is because our plane crashed offshore about one hundred feet. ,0,95,"You have the bones of a really solid story here - you've got an arc (including a climax, exposition, etc). I also appreciate the amount of detail you've put into how this world works. You have the outline of a story.",e8NtrNHkv0O4C21nAgm6,"[""You have the bones of a really solid story here - you've got an arc (including a climax, exposition, etc)."", ""I also appreciate the amount of detail you've put into how this world works."", ""You have the outline of a story.""]"
13459,1,ms,Literary,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","In this memmoir of Narciso Rodriguez from Home: The Blueprints of Our Lives, the author beautifully creates a positive, happy mood. Throughout most of the memmoir, the mood is very warm and hearty. The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly. For example, the last sentence of paragraph @NUM1, it says, ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home."" The author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. In addition, he boosts up the warm, soothing mood up a notch @CAPS1 saying in paragraph @NUM2 ""... All of these cultures came together in great solidarity and friendship. It was a close-knit community of honest, hardworking immigrants."" @CAPS1 saying this, this sentence sets up a feeling of being supported @CAPS1 your loved ones and shows a real definition of true family. Also, it sends a warm, relaxing, cozy feeling as the author talks about a loving, caring family. For this memmoir, the author created a heartwarming, joyous, warm mood as he described his loving home and provided a real definition of family. A loving family really sets a warm, hearty mood.",memmoir ,8,16,"You have an excellentm, it should me ""memoir""! ",1714228359497,"[""You have an excellentm, it should me \""memoir\""!""]"
13459,1,ms,Literary,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","In this memmoir of Narciso Rodriguez from Home: The Blueprints of Our Lives, the author beautifully creates a positive, happy mood. Throughout most of the memmoir, the mood is very warm and hearty. The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly. For example, the last sentence of paragraph @NUM1, it says, ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home."" The author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. In addition, he boosts up the warm, soothing mood up a notch @CAPS1 saying in paragraph @NUM2 ""... All of these cultures came together in great solidarity and friendship. It was a close-knit community of honest, hardworking immigrants."" @CAPS1 saying this, this sentence sets up a feeling of being supported @CAPS1 your loved ones and shows a real definition of true family. Also, it sends a warm, relaxing, cozy feeling as the author talks about a loving, caring family. For this memmoir, the author created a heartwarming, joyous, warm mood as he described his loving home and provided a real definition of family. A loving family really sets a warm, hearty mood.",The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly.,198,345,this is an excellent example of how the author creates the mood! ,1714228383418,"[""this is an excellent example of how the author creates the mood!""]"
13459,1,ms,Literary,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","In this memmoir of Narciso Rodriguez from Home: The Blueprints of Our Lives, the author beautifully creates a positive, happy mood. Throughout most of the memmoir, the mood is very warm and hearty. The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly. For example, the last sentence of paragraph @NUM1, it says, ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home."" The author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. In addition, he boosts up the warm, soothing mood up a notch @CAPS1 saying in paragraph @NUM2 ""... All of these cultures came together in great solidarity and friendship. It was a close-knit community of honest, hardworking immigrants."" @CAPS1 saying this, this sentence sets up a feeling of being supported @CAPS1 your loved ones and shows a real definition of true family. Also, it sends a warm, relaxing, cozy feeling as the author talks about a loving, caring family. For this memmoir, the author created a heartwarming, joyous, warm mood as he described his loving home and provided a real definition of family. A loving family really sets a warm, hearty mood.","he author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. ",577,739,Great analysis here!,1714228404615,"[""Great analysis here!""]"
13459,1,ms,Literary,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","In this memmoir of Narciso Rodriguez from Home: The Blueprints of Our Lives, the author beautifully creates a positive, happy mood. Throughout most of the memmoir, the mood is very warm and hearty. The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly. For example, the last sentence of paragraph @NUM1, it says, ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home."" The author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. In addition, he boosts up the warm, soothing mood up a notch @CAPS1 saying in paragraph @NUM2 ""... All of these cultures came together in great solidarity and friendship. It was a close-knit community of honest, hardworking immigrants."" @CAPS1 saying this, this sentence sets up a feeling of being supported @CAPS1 your loved ones and shows a real definition of true family. Also, it sends a warm, relaxing, cozy feeling as the author talks about a loving, caring family. For this memmoir, the author created a heartwarming, joyous, warm mood as he described his loving home and provided a real definition of family. A loving family really sets a warm, hearty mood.","n addition, he boosts up the warm, soothing mood up a notch ",740,800,"I understand what you're saying here, but this isn't written in an academic tone. I would suggest rephrasing to make more formal. ",1714228437586,"[""I understand what you're saying here, but this isn't written in an academic tone."", ""I would suggest rephrasing to make more formal.""]"
13459,1,ms,Literary,"Read ""Narciso Rodriguez"" by Narciso Rodriguez. Describe the mood created by the author in the memoir. Support your answer with relevant and specific information from the memoir.","In this memmoir of Narciso Rodriguez from Home: The Blueprints of Our Lives, the author beautifully creates a positive, happy mood. Throughout most of the memmoir, the mood is very warm and hearty. The author's description of how his home came to be and how it's like warms up the atmosphere of the reader's mind and make them smile unknowingly. For example, the last sentence of paragraph @NUM1, it says, ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home."" The author's diction, or choice of words, such as congregation, celebration and warm home creates imagery of happy, joyful house and gives off an positive effect. In addition, he boosts up the warm, soothing mood up a notch @CAPS1 saying in paragraph @NUM2 ""... All of these cultures came together in great solidarity and friendship. It was a close-knit community of honest, hardworking immigrants."" @CAPS1 saying this, this sentence sets up a feeling of being supported @CAPS1 your loved ones and shows a real definition of true family. Also, it sends a warm, relaxing, cozy feeling as the author talks about a loving, caring family. For this memmoir, the author created a heartwarming, joyous, warm mood as he described his loving home and provided a real definition of family. A loving family really sets a warm, hearty mood."," A loving family really sets a warm, hearty mood.",1355,1404,"Exellent job - I would start with ""Rodriguez's description of a loving..."" because mood comes from the author!",1714228464775,"[""Exellent job - I would start with \""Rodriguez's description of a loving...\"" because mood comes from the author!""]"
1478,3,ms,Persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.","It is my opinion that computers are not completly bad for people, computers can also be good for people. For example computer allow people to communicate in seconds. From around the well, and computers open up new information to anyone. But a major advantage is that people spent so much time on the computer, that they don't get any exercise. Firstly, computers are good thing because they allow news and infirmation to get to the whole world in seconds. Very recently during the war in the @LOCATION1, news reporters were not allowed into towns and cities where a user uses being fought. Every day social messaging sites like @CAPS1 and @CAPS2 brought news to the world through cell phone videos and pictures that wouldn't have been seen by the world had it not been for computers and the internet. Secondly, computers allow people to gain knowledge in a matter of minutes on topic the sun. For example if you need information on the country in the you can finf it with a computer. If you need a recepie for an @CAPS3 desert look it up with a computer. If you would like to know what the weather will be like, you can look it up with a computer. With a computer the knowledge of the world can be found by anyone. Lastly, the leading argument against is the people don't get enough exercise because they are always on the computer. The people computers say that people will because a thier computer that will the lives these arguments can be the overwhelming of heavy computer users do get enough exercise A recent status that among the internet average grade of A or better, who also do at least With this information the argument In conclusion, computers are not completly good or completly bad for society. Their strong points are communication and the ability to gain knowledge quickly. The main downside is that a minority of computer user don't get enough exercise. It is my opinion that computers are good for and the pres definitily outway the care."," But a major advantage is that people spent so much time on the computer, that they don't get any exercise",236,342,"Watch your wording!! Here, I think you mean disadvantage.",1715048596089,"[""Watch your wording!!"", ""Here, I think you mean disadvantage.""]"
